"carVIN","trueCarID","scrapeDate","scrapeURL","listingDateDiff","vehicleHistUseType","vehicleHistTitleStatus","vehicleHistNumOwners","vehicleHistAccidents","transmissionType","fuelType","driveType","engineInfo","mileage","interiorColor","exteriorColor","style","monthlyPayment","priceClassDiffDirection","priceClassDiffAmt","priceClassification","mileageRatingCity","mileageRatingHighway","accidentN","ownersN","listPrice","city","state","allFeatures"
"1NXBU40EX9Z089593","10502A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/1NXBU40EX9Z089593/2009-toyota-corolla/",-16,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",163962,"NA","Blue Crush Metallic","Sedan",109,NA,NA,"Excellent Price","27 cty "," 35 hwy",0,0,6600,"Arlington"," TX","4 Speakers ~ AM/FM radio ~ AM/FM Stereo w/CD/MP3 & 4 Speakers ~ CD player ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power Windows ~ Power windows ~ Speed-sensing steering ~ ABS brakes ~ Anti-whiplash front head restraints ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar ~ Front wheel independent suspension ~ Low tire pressure warning ~ Occupant sensing airbag"
"5YFBURHE4GP385922","GP385922","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFBURHE4GP385922/2016-toyota-corolla/",-3,"Personal Use","Clean",4,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",49465,"Cream","Celestite Gray Metallic","Sedan",290,"above",64,"Fair Price","27 cty "," 36 hwy",0,4,17473,"Voorhees"," NJ","Front Wheel Drive ~ Power Steering ~ ABS ~ Front Disc/Rear Drum Brakes ~ Brake Assist ~ Wheel Covers ~ Steel Wheels ~ Temporary Spare Tire ~ Power Mirror(s) ~ Rear Defrost ~ Intermittent Wipers ~ Daytime Running Lights ~ Automatic Headlights ~ LED Headlights ~ AM/FM Stereo ~ CD Player ~ MP3 Player ~ Bluetooth Connection"
"5YFEPRAE9LP065956","W8057","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPRAE9LP065956/2020-toyota-corolla/",-19,"Rental Use","Clean",1,2,"Automatic","Gas","FWD","1.8L Inline-4 Gas",127471,"NA","Classic Silver Metallic","Sedan",298,NA,NA,"Fair Price","30 cty "," 38 hwy",2,1,17995,"Woodbridge"," VA","Engine: 1.8L I-4 DOHC 16-Valve -inc: Valvematic ~ Transmission: Continuously Variable (CVTi-S) ~ Front-Wheel Drive ~ 4.76 Axle Ratio ~ Battery w/Run Down Protection ~ Gas-Pressurized Shock Absorbers ~ Front And Rear Anti-Roll Bars ~ Electric Power-Assist Steering ~ 13.2 Gal. Fuel Tank ~ Single Stainless Steel Exhaust ~ Strut Front Suspension w/Coil Springs ~ Multi-Link Rear Suspension w/Coil Springs ~ 4-Wheel Disc Brakes w/4-Wheel ABS- Front Vented Discs- Brake Assist- Hill Hold Control and Electric Parking Brake ~ Tires: P205/55R16 All-Season ~ Steel Spare Wheel ~ Compact Spare Tire Mounted Inside Under Cargo ~ Clearcoat Paint ~ Body-Colored Front Bumper w/Black Bumper Insert"
"JTDS4RCE2LJ006485","N1221761A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDS4RCE2LJ006485/2020-toyota-corolla/",-66,"Personal Use","Clean",2,0,"Automatic","Gas","FWD","2.0L Inline-4 Gas",76461,"NA","Celestite","Sedan",312,"above",37,"Fair Price","31 cty "," 40 hwy",0,2,18800,"Avon"," IN","6 Speakers ~ AM/FM radio ~ Radio data system ~ Radio: AM/FM Audio System ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar"
"5YFEPRAE4LP113928","LP113928R","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPRAE4LP113928/2020-toyota-corolla/",-65,"Rental Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",66835,"Black","Black Sand Pearl","Sedan",326,"below",-33,"Great Price","30 cty "," 38 hwy",NA,NA,19671,"Milpitas"," CA","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio AM/FM w/Navigation ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 3-year trial"
"JTDM4MCE2NJ096672","230598A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDM4MCE2NJ096672/2022-toyota-corolla/",-23,"Personal Use","Clean",1,0,"Manual","Gas","FWD","2.0L Inline-4 Gas",6568,"Black","Classic Silver Metallic","Sedan",431,"below",-780,"Excellent Price","29 cty "," 36 hwy",NA,NA,25984,"Mesa"," AZ","Front Wheel Drive ~ Power Steering ~ ABS ~ 4-Wheel Disc Brakes ~ Brake Assist ~ Aluminum Wheels ~ Tires - Front Performance ~ Tires - Rear Performance ~ Temporary Spare Tire ~ Sun/Moonroof ~ Generic Sun/Moonroof ~ Heated Mirrors ~ Power Mirror(s) ~ Integrated Turn Signal Mirrors ~ Rear Defrost ~ Intermittent Wipers ~ Variable Speed Intermittent Wipers ~ Rear Spoiler"
"2T1BURHE1JC023764","88491B","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHE1JC023764/2018-toyota-corolla/",-16,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",54357,"Ash","Classic Silver Metallic","Sedan",315,"above",174,"Fair Price","28 cty "," 36 hwy",0,0,19000,"Bethesda"," MD","6 Speakers ~ AM/FM radio ~ CD player ~ Radio data system ~ Radio: Entune Audio w/6.1'' Screen ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar"
"5YFS4RCE5LP013264","13264","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFS4RCE5LP013264/2020-toyota-corolla/",-8,"Frame Damage","Clean",4,1,"Automatic","Gas","FWD","2.0L Inline-4 Gas",129512,"NA","Wind Chill Pearl","Sedan",298,"above",125,"Fair Price","31 cty "," 40 hwy",1,1,17998,"Tampa"," FL","Door Handle Color - Body-Color ~  Exhaust Tip Color - Chrome ~  Front Bumper Color - Body-Color ~  Grille Color - Black ~  Mirror Color - Body-Color ~  Rear Bumper Color - Body-Color ~  Rear Spoiler - Lip ~  Rear Spoiler Color - Body-Color ~  Rocker Panel Color - Black ~  Window Trim - Black ~  Exhaust - Dual Tip ~  Air Filtration ~  Floor Material - Carpet ~  Front Air Conditioning - Automatic Climate Control ~  Front Air Conditioning Zones - Single ~  Shift Knob Trim - Urethane ~  Steering Wheel Trim - Leather ~  Interior Accents - Chrome"
"JTDEAMDE2N3002659","N3002659","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEAMDE2N3002659/2022-toyota-corolla/",NA,"Personal Use","Clean",1,0,"Automatic","Hybrid","FWD","1.8L Inline-4 Hybrid",15497,"NA","Wind Chill Pearl","Sedan",473,NA,NA,"Fair Price","53 cty "," 52 hwy",0,1,28543,"Colton"," CA","( Back-Up Camera & Bluetooth Connection ) ~ 50 State Emissions"
"JTDEAMDE6MJ007874","3P007874","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEAMDE6MJ007874/2021-toyota-corolla/",NA,"Personal Use","Clean",2,0,"Automatic","Hybrid","FWD","1.8L Inline-4 Hybrid",64474,"Black","Black Sand Pearl","Sedan",396,"above",393,"High Price","53 cty "," 52 hwy",0,0,23898,"Catonsville"," MD","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio AM/FM ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ power windows ~ POWER WINDOWS ~ Remote keyless entry ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 1-year trial"
"JTDEPRAE6LJ096134","NTUP200104","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEPRAE6LJ096134/2020-toyota-corolla/",-13,"Rental Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",67718,"NA","Barcelona Red Metallic","Sedan",320,NA,NA,"Fair Price","30 cty "," 38 hwy",0,1,19324,"Union City"," GA","Wheels: 16 Wide Vent Steel ~ Front Bucket Seats ~ Premium Fabric Seat Trim ~ Radio: Audio AM/FM w/Navigation ~ 4-Wheel Disc Brakes ~ 6 Speakers ~ Air Conditioning ~ Electronic Stability Control ~ Front Center Armrest ~ Tachometer ~ ABS brakes ~ Automatic temperature control ~ Brake assist ~ Bumpers: body-color ~ Delay-off headlights ~ Driver door bin ~ Driver vanity mirror ~ Dual front impact airbags"
"5YFP4RCE3LP025810","T23-135A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFP4RCE3LP025810/2020-toyota-corolla/",NA,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","2.0L Inline-4 Gas",12233,"Cream","Barcelona Red Metallic","Sedan",370,"below",-335,"Great Price","31 cty "," 40 hwy",0,1,22322,"Uniontown"," PA","SE Premium Package ~  All-Weather Floor Liner Package ~  Mudguards ~  1 12V DC Power Outlet ~  13.2 Gal. Fuel Tank ~  2 LCD Monitors In The Front ~  3.79 Axle Ratio ~  4-Wheel Disc Brakes w/4-Wheel ABS  Front Vented Discs  Brake Assist  Hill Hold Control and Electric Parking Brake ~  60-40 Folding Bench Front Facing Fold Forward Seatback Rear Seat ~  ABS And Driveline Traction Control ~  Air Filtration ~  Airbag Occupancy Sensor ~  Analog Appearance ~  Auto On/Off Projector Beam Led Low/High Beam Daytime Running Auto High-Beam Headlamps w/Delay-Off ~  Automatic Air Conditioning ~  Back-Up Camera ~  Battery w/Run Down Protection ~  Black Side Windows Trim"
"2T1BURHE0HC784781","HC784781","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHE0HC784781/2017-toyota-corolla/",-24,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",81027,"Black","Celestite Gray Metallic","Sedan",263,"below",-245,"Great Price","28 cty "," 36 hwy",0,1,15888,"Bellevue"," WA","Lane Keeping Assist ~ Bluetooth Connection ~ All-Weather Floor Liner Package -Inc: Cargo Tray ~  All-Weather Floor Liners (Ppo) (Disc) No Longer Available For Factory Ordering As Of May 15 ~  2017. *No Longer Factory Orderable ~  See Dealer For Current Availability* ~ Black ~  Fabric Seat Trim ~ Falcon Gray Metallic ~ 50 State Emissions"
"2T1BURHE2HC944515","HC944515","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHE2HC944515/2017-toyota-corolla/",-12,"Personal Use","Clean",1,2,"Automatic","Gas","FWD","1.8L Inline-4 Gas",137875,"Cream","Classic Silver Metallic","Sedan",225,NA,NA,"Fair Price","28 cty "," 36 hwy",2,1,13568,"Buford"," GA","Carpet Mat Package (Tms) -Inc: Carpet Floor Mats &amp; Trunk Mat (Ppo) ~ Door Edge Guards (Ppo) ~ Lane Keeping Assist ~ Bluetooth Connection ~ Steel Gray ~  Fabric Seat Trim ~ Classic Silver Metallic ~ 50 State Emissions"
"2T1BURHEXEC152088","EC152088","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHEXEC152088/2014-toyota-corolla/",-274,"Fleet Use","Clean",2,3,"Automatic","Gas","FWD","1.8L Inline-4 Gas",72990,"Cream","Celestite Gray Metallic","Sedan",213,NA,NA,"Fair Price","27 cty "," 36 hwy",3,2,12824,"Marietta"," GA","AM/FM radio ~ CD player ~ MP3 decoder ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power windows ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar ~ Front wheel independent suspension ~ Knee airbag ~ Low tire pressure warning ~ Occupant sensing airbag ~ Overhead airbag"
"5YFBURHE7HP590345","HDT3414A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFBURHE7HP590345/2017-toyota-corolla/",-22,"Rental Use","Clean",2,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",80614,"Cream","Super White","Sedan",249,"below",-390,"Great Price","28 cty "," 36 hwy",0,0,15000,"Indianapolis"," IN","6 Speakers ~ AM/FM radio ~ CD player ~ Radio data system ~ Radio: Entune Audio w/6.1'' Screen ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power windows ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar ~ Front wheel independent suspension ~ Knee airbag"
"5YFEPMAE7NP348734","CTR1868","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPMAE7NP348734/2022-toyota-corolla/",-20,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",3500,"NA","Classic Silver Metallic","Sedan",431,"above",147,"Fair Price","30 cty "," 38 hwy",0,0,25998,"Bel Air"," MD","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 1-year trial"
"5YFEPRAE1LP017982","13498","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPRAE1LP017982/2020-toyota-corolla/",-15,"Rental Use","Clean",3,1,"Automatic","Gas","FWD","1.8L Inline-4 Gas",51482,"NA","Super White","Sedan",364,"above",NA,"High Price","30 cty "," 38 hwy",1,1,21988,"Davis"," CA","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio AM/FM w/Navigation ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 3-year trial"
"2T1BURHEXFC414208","154-23-010D","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHEXFC414208/2015-toyota-corolla/",-20,"Fleet Use","Clean",2,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",93044,"Cream","Celestite Gray Metallic","Sedan",248,NA,NA,"Fair Price","29 cty "," 38 hwy",0,0,14975,"Tyngsboro"," MA","CD player ~ Air Conditioning ~ Tachometer ~ 6 Speakers ~ AM/FM radio ~ MP3 decoder ~ Radio data system ~ Radio: AM/FM/CD Player w/6.1' Touch Screen ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Dual front impact airbags"
"JTDS4RCE1LJ040675","31C02032","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDS4RCE1LJ040675/2020-toyota-corolla/",NA,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","2.0L Inline-4 Gas",27247,"Black","Black Sand Pearl","Sedan",398,"above",396,"High Price","31 cty "," 40 hwy",0,0,23998,"San Juan Capistrano"," CA","18'' Machined Alloy Wheels ~ Front Sport Seats ~ Premium Fabric Seat Trim ~ Radio: Audio AM/FM w/Navigation ~ 4-Wheel Disc Brakes ~ 6 Speakers ~ Air Conditioning ~ Electronic Stability Control ~ Front Bucket Seats ~ Front Center Armrest ~ Leather Shift Knob ~ Spoiler ~ Tachometer ~ ABS brakes ~ Alloy wheels ~ Automatic temperature control ~ Brake assist ~ Bumpers: body-color"
"2T1BURHE8KC245249","245249","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHE8KC245249/2019-toyota-corolla/",-115,"Personal Use","Clean",1,1,"Automatic","Gas","FWD","1.8L Inline-4 Gas",31199,"NA","Black Sand Pearl","Sedan",315,NA,NA,"Fair Price","28 cty "," 36 hwy",1,1,18999,"Philadelphia"," PA","Front Wheel Drive ~ Power Steering ~ ABS ~ Front Disc/Rear Drum Brakes ~ Brake Assist ~ Steel Wheels ~ Tires - Front Performance ~ Tires - Rear Performance ~ Wheel Covers ~ Temporary Spare Tire ~ Heated Mirrors ~ Power Mirror(s) ~ Rear Defrost ~ Intermittent Wipers ~ Variable Speed Intermittent Wipers ~ Automatic Highbeams ~ Automatic Headlights ~ LED Headlights"
"JTDEPMAE8NJ204999","C386677B","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEPMAE8NJ204999/2022-toyota-corolla/",-87,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",23671,"Black","Wind Chill Pearl","Sedan",342,NA,NA,"Fair Price","30 cty "," 38 hwy",0,0,20662,"Miami"," FL","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 1-year trial"
"2T1BURHE6GC720016","U2138","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BURHE6GC720016/2016-toyota-corolla/",-112,"Personal Use","Clean",1,0,"Manual","Gas","FWD","1.8L Inline-4 Gas",95631,"Black","Super White","Sedan",207,"below",NA,"Excellent Price","29 cty "," 37 hwy",0,1,12500,"Westport"," CT","Gas Engine Type ~ Regular Unleaded Fuel Type ~ 132 Horsepower ~ 6000 Horsepower RPM ~ 128 Torque ~ 4400 Torque RPM ~ 1.8 Engine Displacement ~ Inline Engine Configuration ~ 4 Cylinders ~ 29 EPA City Fuel Economy ~ 37 EPA Highway Fuel Economy ~ 32 EPA Combined Fuel Economy ~ Automatic Transmission Type ~ Continuously Variable ~ 1 Gear Number ~ 2.48 First Gear Ratio ~ 2.6 Reverse Gear Ratio ~ Disc Front Brakes"
"JTDEAMDEXMJ004203","0KK46191","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEAMDEXMJ004203/2021-toyota-corolla/",-6,"Personal Use","Clean",1,0,"Automatic","Hybrid","FWD","1.8L Inline-4 Hybrid",13772,"Black","Celestite","Sedan",456,NA,NA,"Fair Price","53 cty "," 52 hwy",0,0,27500,"Vienna"," VA","Front Wheel Drive ~ Power Steering ~ ABS ~ 4-Wheel Disc Brakes ~ Brake Assist ~ Aluminum Wheels ~ Tires - Front All-Season ~ Tires - Rear All-Season ~ Wheel Covers ~ Heated Mirrors ~ Power Mirror(s) ~ Rear Defrost ~ Intermittent Wipers ~ Variable Speed Intermittent Wipers ~ Automatic Highbeams ~ Daytime Running Lights ~ Automatic Headlights ~ LED Headlights"
